"Name.of.Covered.Entity","State","Covered.Entity.Type","Individuals.Affected","Breach.Submission.Date","Type.of.Breach","Location.of.Breached.Information"
"North Texas Medical Center ","TX","Healthcare Provider",3350,2018-03-15,"Unauthorized Access/Disclosure","Laptop"
"UnitedHealth Group Single Affiliated Covered Entity ","MN","Health Plan",1755,2018-03-15,"Unauthorized Access/Disclosure","Paper/Films"
"Saint Francis Hospital","GA","Healthcare Provider",1412,2018-03-14,"Improper Disposal","Other"
"Serene Sedation, LLC","MD","Healthcare Provider",5207,2018-03-14,"Hacking/IT Incident","Network Server"
"Special Agents Mutual Benefit Association","MD","Health Plan",13942,2018-03-13,"Unauthorized Access/Disclosure","Paper/Films"
"ATI Holdings, LLC and its subsidiaries ","IL","Healthcare Provider",35136,2018-03-12,"Hacking/IT Incident","Email"
"RoxSan Pharmacy, Inc. ","CA","Healthcare Provider",1049,2018-03-12,"Unauthorized Access/Disclosure","Email"
"Barnes-Jewish St. Peters Hospital","MO","Healthcare Provider",15046,2018-03-12,"Unauthorized Access/Disclosure","Network Server"
"Barnes-Jewish Hospital","MO","Healthcare Provider",18436,2018-03-12,"Unauthorized Access/Disclosure","Network Server"
"The Arc of Erie County","NY","Healthcare Provider",3751,2018-03-09,"Unauthorized Access/Disclosure","Network Server"
"inSite Digestive Health Care","CA","Healthcare Provider",1424,2018-03-09,"Theft","Paper/Films"
"Front Range Dermatology Associates, P.C.","CO","Healthcare Provider",1070,2018-03-07,"Unauthorized Access/Disclosure","Electronic Medical Record, Email, Laptop"
"John J. Pershing VA Medical Center","MO","Healthcare Provider",1843,2018-03-07,"Unauthorized Access/Disclosure","Paper/Films"
"Esther V. Rettig, M.D., P.A.","KS","Healthcare Provider",13500,2018-03-01,"Hacking/IT Incident","Desktop Computer, Electronic Medical Record, Network Server"
"Florida Agency for Persons with Disabilities","FL","Health Plan",63627,2018-03-01,"Hacking/IT Incident","Email"
"Memorial Hospital at Gulfport","MS","Healthcare Provider",1512,2018-02-28,"Unauthorized Access/Disclosure","Email"
"St. Peter's Ambulatory Surgery Center LLC - d/b/a St. Peter's Surgery & Endoscopy Center","NY","Healthcare Provider",134512,2018-02-28,"Hacking/IT Incident","Network Server"
"Union Lake Supermarket, LLC","NJ","Healthcare Provider",9956,2018-02-28,"Improper Disposal","Other Portable Electronic Device"
"Artesia General Hospital","NM","Healthcare Provider",864,2018-02-27,"Hacking/IT Incident","Network Server"
"Rhode Island Executive Office of Health and Human Services ","RI","Health Plan",5600,2018-02-27,"Unauthorized Access/Disclosure","Other"
"Rhode Island Executive Office of Health and Human Services","RI","Health Plan",1100,2018-02-27,"Unauthorized Access/Disclosure","Paper/Films"
"California College of Arts","CA","Health Plan",623,2018-02-26,"Theft","Laptop"
"Center for Sports Medicine and Orthopedics ","TN","Healthcare Provider",800,2018-02-26,"Unauthorized Access/Disclosure","Paper/Films"
"Walmart, Inc.","AR","Healthcare Provider",735,2018-02-22,"Unauthorized Access/Disclosure","Electronic Medical Record"
"ConnectiCare","CT","Health Plan",1834,2018-02-21,"Unauthorized Access/Disclosure","Paper/Films"
"Missouri Dept. of Mental Health","MO","Healthcare Provider",1000,2018-02-21,"Unauthorized Access/Disclosure","Other"
"University of Virginia Medical Center","VA","Healthcare Provider",1882,2018-02-21,"Hacking/IT Incident","Desktop Computer, Laptop"
"Jemison Internal Medicine, PC","AL","Health Plan",6550,2018-02-16,"Hacking/IT Incident","Network Server"
"Tufts Associated Health Maintenance Organization, Inc.","MA","Health Plan",70320,2018-02-16,"Unauthorized Access/Disclosure","Paper/Films"
"Partners HealthCare System, Inc.","MA","Healthcare Provider",2450,2018-02-05,"Hacking/IT Incident","Desktop Computer, Network Server"
"CarePlus Health Plan [case #HU1800066]","KY","Health Plan",11248,2018-02-05,"Unauthorized Access/Disclosure","Paper/Films"
"City of Detroit","MI","Healthcare Provider",544,2018-02-05,"Loss","Other Portable Electronic Device"
"Ron's Pharmacy Services ","CA","Healthcare Provider",6781,2018-02-02,"Hacking/IT Incident","Email"
"Eastern Maine Medical Center","ME","Healthcare Provider",660,2018-02-02,"Theft","Other Portable Electronic Device"
"Coastal Cape Fear Eye Associates, P.A.","NC","Healthcare Provider",925,2018-02-01,"Hacking/IT Incident","Desktop Computer, Network Server"
"Forrest General Hospital","MS","Healthcare Provider",1670,2018-02-01,"Hacking/IT Incident","Email"
"Children's Mercy Hospital","MO","Healthcare Provider",63049,2018-01-31,"Hacking/IT Incident","Email"
"Steven Yang, D.D.S., INC.","CA","Healthcare Provider",3202,2018-01-26,"Theft","Laptop"
"Decatur County General Hospital","TN","Healthcare Provider",24000,2018-01-26,"Hacking/IT Incident","Network Server"
"Rocky Mountain Women's Health Center, Inc.","UT","Healthcare Provider",1123,2018-01-25,"Improper Disposal","Paper/Films"
"Zachary E. Adkins, DDS","NM","Healthcare Provider",3677,2018-01-25,"Theft","Other Portable Electronic Device"
"Central States Southeast and Southwest Areas Health and Welfare Fund","IL","Health Plan",634,2018-01-23,"Unauthorized Access/Disclosure","Paper/Films"
"RGH Enterprises, Inc.","OH","Healthcare Provider",4586,2018-01-22,"Unauthorized Access/Disclosure","Paper/Films"
"Robert Smith DMD, PC","TN","Healthcare Provider",1500,2018-01-22,"Hacking/IT Incident","Network Server"
"Westminster Ingleside King Farm Presbyterian Retirement Communities, Inc.","MD","Healthcare Provider",5228,2018-01-19,"Hacking/IT Incident","Desktop Computer, Network Server"
"The Pediatric Endocrinology and Diabetes Specialists","NV","Healthcare Provider",1021,2018-01-18,"Hacking/IT Incident","Desktop Computer, Electronic Medical Record, Laptop"
"Gillette Medical Imaging","WY","Healthcare Provider",4476,2018-01-18,"Unauthorized Access/Disclosure","Paper/Films"
"High Plains Surgical Associates","WY","Healthcare Provider",607,2018-01-15,"Unauthorized Access/Disclosure","Paper/Films"
"Western Washington Medical Group Inc.","WA","Healthcare Provider",842,2018-01-12,"Improper Disposal","Paper/Films"
"Pedes Orange County, Inc.","CA","Healthcare Provider",917,2018-01-12,"Unauthorized Access/Disclosure","Electronic Medical Record"
"Onco360 and CareMed Specialty Pharmacy ","KY","Healthcare Provider",53173,2018-01-12,"Hacking/IT Incident","Email"
"Alicia Ann Oswald","CA","Healthcare Provider",800,2018-01-09,"Unauthorized Access/Disclosure","Email"
"Palomar Health (Palomar Medical Center (Escondido)","CA","Healthcare Provider",1309,2018-01-08,"Unauthorized Access/Disclosure","Electronic Medical Record"
"Charles River Medical Associates, pc","MA","Healthcare Provider",9387,2018-01-08,"Loss","Other Portable Electronic Device"
"DJO, LLC","CA","Healthcare Provider",1203,2018-01-06,"Loss","Paper/Films"
"Agency for Health Care Administration","FL","Health Plan",30000,2018-01-05,"Hacking/IT Incident","Email"
"Oklahoma State University ","OK","Healthcare Provider",279865,2018-01-05,"Hacking/IT Incident","Network Server"
"Penn Medicine","PA","Healthcare Provider",1050,2018-01-02,"Theft","Laptop"
"Coplin Health Systems","WV","Healthcare Provider",43000,2017-12-29,"Theft","Laptop"
"SSM Health","MO","Healthcare Provider",29579,2017-12-28,"Unauthorized Access/Disclosure","Electronic Medical Record"
"Longs Peak Family Practice, P.C.","CO","Healthcare Provider",16238,2017-12-27,"Hacking/IT Incident","Desktop Computer, Network Server"
"Colorado Department of Human Services","CO","Healthcare Provider",639,2017-12-27,"Hacking/IT Incident","Desktop Computer"
"Blue Cross Blue Shield of Massachusetts","MA","Health Plan",1843,2017-12-26,"Unauthorized Access/Disclosure","Email"
"Kaiser Foundation Health Plan, Inc.","CA","Health Plan",638,2017-12-22,"Unauthorized Access/Disclosure","Paper/Films"
"SAY San Diego","CA","Healthcare Provider",1272,2017-12-22,"Loss","Paper/Films"
"Molina Healthcare","FL","Health Plan",1380,2017-12-21,"Unauthorized Access/Disclosure","Other"
"BEE Reno Dental, LLC","NV","Healthcare Provider",3898,2017-12-20,"Hacking/IT Incident","Desktop Computer, Network Server"
"Absolute Dental Hygiene, LLC","OR","Healthcare Provider",871,2017-12-20,"Hacking/IT Incident","Desktop Computer, Electronic Medical Record, Network Server"
"Dignity Health Medical Foundation","CA","Healthcare Provider",2189,2017-12-19,"Unauthorized Access/Disclosure","Paper/Films"
"Sheldon M. Golden O.D., Optometric Corporation","CA","Healthcare Provider",7583,2017-12-19,"Hacking/IT Incident","Network Server"
"MidMichigan Medical Center-Alpena","MI","Healthcare Provider",1900,2017-12-19,"Loss","Paper/Films"
"Emory Healthcare  ","GA","Healthcare Provider",24000,2017-12-15,"Unauthorized Access/Disclosure","Email"
"Chilton Medical Center","NJ","Healthcare Provider",4600,2017-12-15,"Theft","Other Portable Electronic Device"
"NYU School of Medicine - Pediatric Surgery Associates","NY","Healthcare Provider",2158,2017-12-15,"Improper Disposal","Paper/Films"
"Compassion Care Hospice Las Vegas, LLC","NV","Healthcare Provider",1128,2017-12-14,"Hacking/IT Incident","Network Server"
"Memphis Pathology Laboratory d/b/a American Esoteric Laboratory ","TN","Healthcare Provider",500,2017-12-14,"Theft","Laptop"
"Kaiser Foundation Health Plan, Inc.","CA","Health Plan",4389,2017-12-14,"Hacking/IT Incident","Email"
"Midland County Hospital District d/b/a Midland Memorial Hospital  ","TX","Healthcare Provider",1160,2017-12-12,"Hacking/IT Incident","Email"
"Pharmacy Innovations","NY","Healthcare Provider",1205,2017-12-12,"Hacking/IT Incident","Network Server"
"University of South Florida, USF Health Care","FL","Healthcare Provider",1279,2017-12-11,"Unauthorized Access/Disclosure","Paper/Films"
"Franciscan Physician Network of Illinois and Specialty Physicians of Illinois, LLC (formerly known as WellGroup Health Partners, LLC)","IL","Healthcare Provider",22000,2017-12-09,"Loss","Paper/Films"
"Central Iowa Hospital Corporation d/b/a Blank Children's Hospital","IA","Healthcare Provider",557,2017-12-08,"Unauthorized Access/Disclosure","Paper/Films"
"UNC Health Care System","NC","Healthcare Provider",27113,2017-12-08,"Theft","Desktop Computer"
"Mount Carmel Health System","OH","Healthcare Provider",836,2017-12-08,"Unauthorized Access/Disclosure","Email"
"Columbus Surgery Center, LLC ","NE","Healthcare Provider",7221,2017-12-07,"Hacking/IT Incident","Network Server"
"Eye Physicians, P.C.","NE","Healthcare Provider",2620,2017-12-07,"Hacking/IT Incident","Network Server"
"Austin Manual Therapy Associates","TX","Healthcare Provider",1750,2017-12-06,"Hacking/IT Incident","Laptop, Network Server"
"Bronson Healthcare Group","MI","Healthcare Provider",8256,2017-12-05,"Hacking/IT Incident","Email"
"Eclectic Chiropractic Rehab","MI","Healthcare Provider",650,2017-12-05,"Unauthorized Access/Disclosure","Email"
"Oklahoma Department of Human Services","OK","Health Plan",47000,2017-12-05,"Hacking/IT Incident","Network Server"
"Golden Rule Insurance Company","IN","Health Plan",9305,2017-12-04,"Unauthorized Access/Disclosure","Network Server"
"Sinai Health System ","IL","Healthcare Provider",11347,2017-12-01,"Hacking/IT Incident","Email"
"Henry Ford Health System","MI","Healthcare Provider",43563,2017-12-01,"Hacking/IT Incident","Email"
"Washington Health System Greene","PA","Healthcare Provider",4145,2017-12-01,"Theft","Other Portable Electronic Device"
"CCRM Minneapolis, P.C.","MN","Healthcare Provider",3280,2017-12-01,"Hacking/IT Incident","Network Server"
"Hackensack Sleep and Pulmonary Center","NJ","Healthcare Provider",16474,2017-11-28,"Hacking/IT Incident","Network Server"
"Alere Toxicology","MA","Healthcare Provider",2146,2017-11-28,"Unauthorized Access/Disclosure","Paper/Films"
"University of Alabama at Birmingham","AL","Healthcare Provider",652,2017-11-27,"Loss","Other Portable Electronic Device"
"Pulmonary Specialists of Louisville, PSC","KY","Healthcare Provider",32000,2017-11-27,"Hacking/IT Incident","Electronic Medical Record"
"Sutter Valley Medical Foundation d/b/a Sutter Medical Foundation","CA","Healthcare Provider",1303,2017-11-22,"Theft","Laptop, Paper/Films"
"Baptist Health Louisville","KY","Healthcare Provider",880,2017-11-21,"Hacking/IT Incident","Email"
"Humana Inc ","KY","Health Plan",5764,2017-11-21,"Unauthorized Access/Disclosure","Network Server"
"Dallas County MHMR dba Metrocare Services","TX","Healthcare Provider",500,2017-11-17,"Hacking/IT Incident","Email"
"Clinical Pathology Laboratories Southeast","FL","Healthcare Provider",500,2017-11-17,"Theft","Laptop"
"The Medical College of Wisconsin, Inc.","WI","Healthcare Provider",9500,2017-11-17,"Hacking/IT Incident","Email"
"Rocky Mountain Health Care Services","CO","Healthcare Provider",909,2017-11-16,"Theft","Laptop"
"Washington State Department of Social and Health Services","WA","Healthcare Provider",515,2017-11-16,"Unauthorized Access/Disclosure","Email"
"UPMC Susquehanna","PA","Healthcare Provider",1208,2017-11-15,"Hacking/IT Incident","Email"
"Sports Medicine & Rehabilitation Therapy, Inc.","MA","Healthcare Provider",8800,2017-11-14,"Hacking/IT Incident","Network Server"
"Family & Cosmetic Dentistry of the Rockies","CO","Healthcare Provider",1850,2017-11-13,"Improper Disposal","Paper/Films"
"The Lowell General Hospital","MA","Healthcare Provider",769,2017-11-10,"Unauthorized Access/Disclosure","Electronic Medical Record"
"Otolaryngology Associates of Central New Jersey, P.C.","NJ","Healthcare Provider",1551,2017-11-10,"Theft","Paper/Films"
"The Center For Health Care Services ","TX","Healthcare Provider",501,2017-11-08,"Theft","Paper/Films"
"Aetna Inc.","CT","Health Plan",1600,2017-11-08,"Unauthorized Access/Disclosure","Paper/Films"
"Indiana University Health","IN","Healthcare Provider",1399,2017-11-03,"Improper Disposal","Paper/Films"
"Valley Family Medicine","VA","Healthcare Provider",8450,2017-11-03,"Unauthorized Access/Disclosure","Paper/Films"
"Shop-Rite Supermarkets, Incorporated","NY","Healthcare Provider",12172,2017-11-03,"Improper Disposal","Other Portable Electronic Device"
"Texas Children's Health Plan","TX","Health Plan",932,2017-10-27,"Unauthorized Access/Disclosure","Email"
"Florida Blue ","FL","Health Plan",939,2017-10-27,"Unauthorized Access/Disclosure","Paper/Films"
"Catholic Charities of the Diocese of Albany","NY","Healthcare Provider",4624,2017-10-27,"Hacking/IT Incident","Network Server"
"Cook County Health & Hospitals System","IL","Healthcare Provider",727,2017-10-27,"Unauthorized Access/Disclosure","Network Server"
"Arch City Dental, LLC - Drs. Baloy and Donatelli","OH","Healthcare Provider",1716,2017-10-26,"Unauthorized Access/Disclosure","Email"
"MGA Home Healthcare Colorado, Inc.","AZ","Healthcare Provider",2898,2017-10-25,"Hacking/IT Incident","Email"
"TJ Samson Community Hospital","KY","Healthcare Provider",683,2017-10-24,"Unauthorized Access/Disclosure","Electronic Medical Record"
"Brevard Physician Associates","FL","Healthcare Provider",7976,2017-10-24,"Theft","Desktop Computer"
"Aetna, Inc.","CT","Health Plan",1506,2017-10-23,"Unauthorized Access/Disclosure","Network Server"
"Recovery Institute of the South East P.A.","FL","Healthcare Provider",689,2017-10-21,"Hacking/IT Incident","Desktop Computer, Electronic Medical Record, Email, Laptop, Network Server, Other, Other Portable Electronic Device, Paper/Films"
"Kaiser Foundation Health Plan","CA","Health Plan",720,2017-10-20,"Unauthorized Access/Disclosure","Paper/Films"
"EMERGENCY COVERAGE CORPORATION ","TN","Healthcare Provider",719,2017-10-20,"Loss","Paper/Films"
"Iowa Department of Human Services","IA","Health Plan",820,2017-10-20,"Hacking/IT Incident","Email"
"Mann-Grandstaff VA Medical Center","WA","Healthcare Provider",1915,2017-10-19,"Theft","Other Portable Electronic Device"
"Insulet Corporation","MA","Healthcare Provider",1469,2017-10-17,"Unauthorized Access/Disclosure","Network Server"
"Carolina Oncology Specialists","NC","Healthcare Provider",1551,2017-10-16,"Unauthorized Access/Disclosure","Electronic Medical Record"
"Martinsville Henry County Coalition for Health and Wellness","VA","Healthcare Provider",5806,2017-10-13,"Theft","Laptop"
"CVS Pharmacy","RI","Healthcare Provider",836,2017-10-13,"Theft","Paper/Films"
"Bridget P Early MD LLC d/b/a Namaste Health Care","MO","Healthcare Provider",1617,2017-10-12,"Hacking/IT Incident","Network Server"
"Orthopedics NY, LLP","NY","Healthcare Provider",2493,2017-10-12,"Unauthorized Access/Disclosure","Other"
"RiverMend Health, LLC","GA","Healthcare Provider",1300,2017-10-09,"Hacking/IT Incident","Email"
"Lifestyle Therapy & Coaching","AL","Healthcare Provider",550,2017-10-09,"Unauthorized Access/Disclosure","Network Server"
"John Hancock Life Insurance Company (U.S.A.)","MA","Health Plan",1715,2017-10-06,"Hacking/IT Incident","Network Server"
"Chase Brexton Health Care","MD","Healthcare Provider",16562,2017-10-03,"Hacking/IT Incident","Email"
